,State,Per Capita NSDP at 2004-05 prices (Rs.),Growth in Per Capita NSDP at 2004-05 prices (%),Growth rate in GSDP-Total,Growth rate in GSDP-Agriculture,Growth rate in GSDP-Industry,Growth rate in GSDP-services,Area (Sq. Km.),Population (crore),Population Density (Per Sq. Km.),Decadal Growth Rate of Population (2001-2011) (%),Sex Ratio (Females/ 1000 Males),Sex Ratio (0-6 years) (Female children/ 1000 male children),Total Literacy Rate (%),Male (%),Female (%),Gender Gap in Literacy (%),Infant Mortality Rate (IMR) (per 1000 live births),Maternal Mortality Rate (MMR) (per 100000 live births),Total Fertility Rate (TFR) (Birth/ woman),Neo Natal Mortality Rate (NMR) (per 1000 live births),Under 5 Mortality Rate (U-5MR) (per 1000 live births),Birth Rate (%),Death Rate (%),Highway Length per sq km,State Highways per sq km,Per Capita Consumption of Electricity (kWh),Total Rail Route (km) per sq km of area,Rural Tele Density (%) ,Urban Tele Density (%) ,Unemployment Rate (Usual Status (adjusted)) (%),Dropout Rate: Primary Level (%),Dropout Rate: Upper Primary Level (%),Gross Enrolment Ratio: Primary Level (%),Net Enrolment Ratio: Primary Level (%),Gross Enrolment Ratio: Upper Primary Level (%),Net Enrolment Ratio: Upper Primary Level (%),Household availing banking services,Households with latrine facility within premises,Safe Drinking Water (Tap/Handpump/Tubewell) (%age),Forest Cover (area in sq.Km.),Forest Cover (% of geographical area)
0,All India,38856.0,2.12,4.7,4.7,0.4,6.8,3287240.0,121.02,368.0,17.6,943.0,919.0,74.0,82.1,65.5,16.7,40.0,178.0,2.4,31.0,52.0,21.4,7.0,0.023,0.05,914.4,0.02,44.0,145.5,2.3,6.5,6.6,101.4,88.1,89.3,70.2,58.7,46.9,85.5,697898.0,21.2
1,Andhra Pradesh,44526.0,4.55,5.09,4.78,-0.46,6.95,275045.0,8.46,308.0,11.0,993.0,939.0,67.7,75.6,59.7,15.8,39.0,110.0,1.8,28.0,43.0,17.4,7.3,0.016,0.039,1134.9,0.018000000000000002,45.4,167.6,2.1,6.2,6.8,96.7,78.3,83.6,62.3,53.1,49.6,90.5,46116.0,16.8
2,Bihar,14362.0,9.23,10.74,3.0,0.95,14.99,94163.0,10.41,1106.0,25.4,918.0,935.0,63.8,73.4,53.3,20.1,42.0,219.0,3.5,29.0,57.0,27.6,6.6,0.044000000000000004,0.052000000000000005,145.4,0.026000000000000002,29.4,151.0,3.5,5.7,2.9,98.0,91.7,87.2,79.1,44.4,23.1,94.0,7291.0,7.7
3,Arunachal Pradesh,35845.0,1.74,4.64,2.98,15.28,1.32,83743.0,0.14,17.0,26.0,938.0,972.0,67.0,73.7,59.6,14.1,32.0,,,,,19.3,5.8,0.024,0.0,718.6,0.064,42.7,153.0,2.1,14.8,1.0,128.5,,113.9,88.3,53.0,62.0,78.6,67321.0,80.4
4,Madhya Pradesh,25463.0,8.6,9.89,20.32,5.48,8.1,308252.0,7.26,236.0,20.4,931.0,918.0,70.6,80.5,60.0,20.5,54.0,230.0,2.9,41.0,73.0,26.3,8.0,0.016,0.034,752.7,0.003,33.7,116.3,1.0,8.3,7.4,111.5,93.7,100.7,76.1,46.6,28.8,78.0,77522.0,25.2
5,Chhattisgarh,27421.0,0.95,5.42,4.8,2.96,6.27,135192.0,2.55,189.0,22.6,991.0,969.0,71.0,81.5,60.6,20.9,46.0,230.0,2.7,34.0,55.0,24.4,7.9,0.017,0.039,1495.4,0.027000000000000003,33.7,116.3,1.5,4.9,1.7,104.0,93.8,100.7,76.8,48.8,24.6,86.3,55621.0,41.1
6,Uttar Pradesh,18595.0,3.42,5.92,4.26,2.03,8.09,240928.0,19.98,829.0,20.2,912.0,902.0,69.7,79.2,59.3,20.0,50.0,292.0,3.3,40.0,68.0,27.2,7.7,0.032,0.033,450.0,0.037000000000000005,35.6,131.5,1.5,11.9,4.0,96.4,87.0,73.2,57.3,72.0,35.7,95.1,14349.0,6.0
7,Maharashtra,64218.0,4.47,6.18,0.98,2.72,8.78,307713.0,11.24,365.0,16.0,929.0,894.0,82.9,89.8,75.5,14.3,24.0,87.0,1.8,18.0,28.0,16.5,6.2,0.013999999999999999,0.106,1239.3,0.019,55.8,116.3,1.4,1.9,3.3,99.8,86.4,96.7,75.8,68.9,53.1,83.4,50632.0,16.5
8,Assam,23448.0,4.59,6.06,4.63,3.34,7.81,78438.0,3.12,398.0,17.1,958.0,962.0,73.2,78.8,67.3,11.5,54.0,328.0,2.4,30.0,75.0,22.8,7.8,0.037000000000000005,0.04,240.3,1e-05,34.4,126.3,4.7,11.7,3.6,113.4,,93.1,76.5,44.1,64.9,69.9,27671.0,35.3
9,West Bengal,33889.0,5.36,6.72,3.26,4.38,8.3,88752.0,9.13,1028.0,13.8,950.0,956.0,77.1,82.7,71.2,11.5,31.0,117.0,1.7,22.0,37.0,16.0,6.4,0.03,0.051,593.9,0.045,41.7,135.3,3.2,6.6,5.9,104.0,92.1,99.6,73.0,48.8,58.9,92.2,16805.0,18.9
10,Delhi,118960.0,7.38,9.33,2.22,1.76,10.3,1486.0,1.68,11297.0,21.2,866.0,866.0,86.3,91.0,80.9,10.1,24.0,,1.8,18.0,28.0,17.2,4.1,0.054000000000000006,,1613.3,0.805,226.9,226.9,37.0,,,110.7,92.3,122.9,93.3,77.7,89.5,95.0,17981.0,12.1
11,Kerala,56115.0,7.72,8.24,0.7,18.41,5.46,38852.0,3.34,860.0,4.9,1084.0,964.0,93.9,96.0,92.0,4.0,12.0,66.0,1.8,7.0,13.0,14.7,6.9,0.037000000000000005,0.11199999999999999,630.1,0.083,64.3,189.7,6.7,0.1,1.2,95.4,85.8,98.3,82.3,74.2,95.2,33.5,17922.0,46.1
12,J & K,29754.0,3.19,4.49,1.2,4.81,7.55,222236.0,1.25,56.0,23.6,889.0,862.0,68.7,78.3,58.0,20.3,37.0,,1.9,32.0,43.0,17.5,5.3,0.006,0.0003,1043.4,0.001,42.6,130.7,3.5,11.3,4.4,84.9,69.0,72.4,55.3,70.0,51.2,76.8,22538.0,10.1
13,Gujarat,61220.0,6.57,7.96,0.45,7.12,12.7,196244.0,6.04,308.0,19.3,919.0,890.0,79.3,87.2,70.7,16.5,36.0,122.0,2.3,30.0,48.0,20.8,6.5,0.021,0.094,1796.3,0.0004,57.4,137.6,5.0,3.0,29.3,101.1,82.9,90.9,68.4,57.9,57.4,90.3,14653.0,7.5
14,Nagaland,48111.0,3.82,6.46,4.4,8.5,7.13,16579.0,0.2,119.0,-0.6,931.0,943.0,80.1,83.3,76.7,6.6,18.0,,,,,15.4,3.1,0.03,0.06,268.5,0.001,42.7,153.0,17.8,6.0,3.0,118.8,99.4,102.7,74.3,34.9,76.5,53.8,13044.0,78.7
15,Punjab,47834.0,3.26,4.63,0.81,2.73,7.95,50362.0,2.77,551.0,13.9,895.0,846.0,76.7,81.5,71.3,10.1,26.0,155.0,1.7,24.0,34.0,15.7,6.7,0.031,0.028999999999999998,1761.1,0.044000000000000004,72.0,154.3,2.2,1.8,,105.6,85.7,95.3,70.1,65.2,79.3,97.6,1772.0,3.5
16,Tripura,42315.0,7.45,8.7,3.6,2.75,12.76,10486.0,0.37,350.0,14.8,960.0,957.0,87.8,92.2,83.2,9.0,26.0,,,,,13.7,4.7,0.038,0.066,296.1,0.013999999999999999,42.7,153.0,12.8,6.2,4.7,113.3,,114.0,,79.2,86.0,67.5,7866.0,75.0
17,Jharkhand,27010.0,6.91,7.43,12.53,3.56,11.53,79716.0,3.3,414.0,22.4,949.0,948.0,67.6,78.5,56.2,22.2,37.0,219.0,2.8,29.0,50.0,24.6,6.8,0.027000000000000003,0.024,846.8,0.003,29.4,151.0,2.5,12.6,6.4,110.2,96.5,95.3,79.8,54.0,22.0,60.1,23473.0,29.5
18,Uttarakhand,54462.0,3.53,5.61,3.89,5.23,6.3,53483.0,1.01,189.0,18.8,963.0,890.0,79.6,88.3,70.7,17.6,32.0,292.0,,,,18.2,6.1,0.038,0.071,1297.3,0.006,35.6,131.5,3.2,4.9,2.1,100.6,83.5,86.5,63.4,80.7,65.8,92.2,24508.0,45.8
19,Karnataka,42976.0,3.58,5.47,-2.93,0.39,10.5,191791.0,6.11,319.0,15.6,963.0,948.0,75.6,82.9,68.1,14.7,31.0,144.0,1.9,24.0,37.0,18.3,7.0,0.023,0.10800000000000001,1129.1,0.011000000000000001,46.2,167.2,1.6,2.0,36.4,101.0,92.3,91.8,82.9,61.1,51.2,87.5,36132.0,18.8
20,Himachal,51730.0,5.14,6.14,6.56,3.45,7.35,55673.0,0.69,123.0,12.9,972.0,909.0,83.8,90.8,76.6,14.2,35.0,,1.7,28.0,43.0,16.0,6.7,0.027000000000000003,0.028999999999999998,1379.8,0.028999999999999998,77.1,325.9,1.3,0.7,0.9,100.5,83.7,101.8,78.4,89.1,69.1,93.7,14683.0,26.4
21,Haryana,64136.0,3.92,5.55,3.15,4.42,8.25,44212.0,2.54,573.0,19.9,879.0,834.0,76.6,85.4,66.8,18.6,41.0,146.0,2.3,28.0,48.0,21.3,6.3,0.037000000000000005,0.057,1722.3,0.11900000000000001,59.8,121.4,2.8,,,98.4,77.7,94.2,68.6,68.1,68.6,93.8,1586.0,3.6
22,Mizoram,39347.0,3.76,7.23,-1.05,2.11,11.09,21081.0,0.11,52.0,23.5,976.0,970.0,91.6,93.7,89.4,4.3,35.0,,,,,16.1,4.3,0.049,0.033,469.4,0.0001,42.7,153.0,3.1,7.0,9.0,126.0,,118.7,83.9,54.9,91.9,60.4,19054.0,90.4
23,Manipur,22395.0,-1.51,3.96,1.21,1.98,5.54,22327.0,0.29,128.0,12.1,992.0,936.0,79.9,86.5,73.2,13.3,10.0,,,,,14.7,4.0,0.059000000000000004,0.051,352.9,4e-05,42.7,153.0,3.6,12.1,3.0,149.2,,113.3,,29.6,89.3,45.4,16990.0,76.1
24,Goa,132121.0,2.1,4.1,-0.28,-4.86,10.26,3702.0,0.15,394.0,8.2,973.0,942.0,87.4,92.8,81.8,11.0,9.0,,,,,13.0,6.6,0.073,0.075,2045.0,0.049,72.0,154.3,4.8,,3.3,105.1,97.5,105.8,89.3,86.8,79.7,85.7,2219.0,59.9
25,Meghalaya,34004.0,-0.62,2.18,4.02,-1.73,4.57,22429.0,0.3,132.0,28.0,989.0,970.0,75.5,77.2,73.8,3.4,47.0,,,,,23.9,7.6,0.052000000000000005,0.038,690.2,0.0,42.7,153.0,0.7,15.1,8.7,135.4,95.3,111.0,64.9,37.5,62.9,44.7,17288.0,77.1
26,Tamil Nadu,58360.0,2.22,3.39,1.59,2.12,6.05,130060.0,7.21,555.0,15.6,996.0,943.0,80.3,86.8,73.9,13.0,21.0,90.0,1.7,15.0,24.0,15.6,7.3,0.038,0.083,1226.3,0.031,74.0,138.2,2.2,1.0,0.3,102.6,86.7,98.3,76.7,52.5,48.3,92.5,23844.0,18.3
27,Odisha,25415.0,5.23,8.09,0.86,9.48,6.1,155707.0,4.2,270.0,14.1,979.0,941.0,73.5,82.4,64.4,18.0,51.0,235.0,2.1,40.0,68.0,19.6,8.4,0.024,0.023,1209.2,0.016,39.9,161.1,2.4,5.4,3.6,105.8,89.1,86.2,63.8,45.0,22.0,75.3,50347.0,32.3
28,Rajasthan,29244.0,2.86,4.52,0.02,4.6,6.45,342239.0,6.85,200.0,21.3,928.0,888.0,67.1,80.5,52.7,27.9,47.0,255.0,2.9,37.0,59.0,25.6,6.5,0.021,0.031,981.9,0.017,48.6,160.0,1.2,7.8,0.0,101.5,79.5,84.6,62.0,68.0,35.0,78.1,16086.0,4.7
