State,Per Capita NSDP at 2004-05 prices (Rs.),Growth in Per Capita NSDP at 2004-05 prices (%),Growth rate in GSDP-Total,Growth rate in GSDP-Agriculture,Growth rate in GSDP-Industry,Growth rate in GSDP-services,Area (Sq. Km.),Population (crore),Population Density (Per Sq. Km.),Decadal Growth Rate of Population (2001-2011) (%),Sex Ratio (Females/ 1000 Males),Sex Ratio (0-6 years) (Female children/ 1000 male children),Total Literacy Rate (%),Male (%),Female (%),Gender Gap in Literacy (%),Infant Mortality Rate (IMR) (per 1000 live births),Maternal Mortality Rate (MMR) (per 100000 live births),Total Fertility Rate (TFR) (Birth/ woman),Neo Natal Mortality Rate (NMR) (per 1000 live births),Under 5 Mortality Rate (U-5MR) (per 1000 live births),Birth Rate (%),Death Rate (%),Highway Length per sq km,State Highways per sq km,Per Capita Consumption of Electricity (kWh),Total Rail Route (km) per sq km of area,Rural Tele Density (%) ,Urban Tele Density (%) ,Unemployment Rate (Usual Status (adjusted)) (%),Dropout Rate: Primary Level (%),Dropout Rate: Upper Primary Level (%),Gross Enrolment Ratio: Primary Level (%),Net Enrolment Ratio: Primary Level (%),Gross Enrolment Ratio: Upper Primary Level (%),Net Enrolment Ratio: Upper Primary Level (%),Household availing banking services,Households with latrine facility within premises,Safe Drinking Water (Tap/Handpump/Tubewell) (%age),Forest Cover (area in sq.Km.),Forest Cover (% of geographical area)
All India,38856,2.12,4.7,4.7,0.4,6.8,3287240,121.02,368,17.6,943,919,74,82.1,65.5,16.7,40,178,2.4,31,52,21.4,7,0.023,0.05,914.4,0.02,44,145.5,2.3,6.5,6.6,101.4,88.1,89.3,70.2,58.7,46.9,85.5,697898,21.2
Andhra Pradesh,44526,4.55,5.09,4.78,-0.46,6.95,275045,8.46,308,11,993,939,67.7,75.6,59.7,15.8,39,110,1.8,28,43,17.4,7.3,0.016,0.039,1134.9,0.018,45.4,167.6,2.1,6.2,6.8,96.7,78.3,83.6,62.3,53.1,49.6,90.5,46116,16.8
Bihar,14362,9.23,10.74,3,0.95,14.99,94163,10.41,1106,25.4,918,935,63.8,73.4,53.3,20.1,42,219,3.5,29,57,27.6,6.6,0.044,0.052,145.4,0.026,29.4,151,3.5,5.7,2.9,98,91.7,87.2,79.1,44.4,23.1,94,7291,7.7
Arunachal Pradesh,35845,1.74,4.64,2.98,15.28,1.32,83743,0.14,17,26,938,972,67,73.7,59.6,14.1,32,,,,,19.3,5.8,0.024,0,718.6,0.064,42.7,153,2.1,14.8,1,128.5,,113.9,88.3,53,62,78.6,67321,80.4
Madhya Pradesh,25463,8.6,9.89,20.32,5.48,8.1,308252,7.26,236,20.4,931,918,70.6,80.5,60,20.5,54,230,2.9,41,73,26.3,8,0.016,0.034,752.7,0.003,33.7,116.3,1,8.3,7.4,111.5,93.7,100.7,76.1,46.6,28.8,78,77522,25.2
Chhattisgarh,27421,0.95,5.42,4.8,2.96,6.27,135192,2.55,189,22.6,991,969,71,81.5,60.6,20.9,46,230,2.7,34,55,24.4,7.9,0.017,0.039,1495.4,0.027,33.7,116.3,1.5,4.9,1.7,104,93.8,100.7,76.8,48.8,24.6,86.3,55621,41.1
Uttar Pradesh,18595,3.42,5.92,4.26,2.03,8.09,240928,19.98,829,20.2,912,902,69.7,79.2,59.3,20,50,292,3.3,40,68,27.2,7.7,0.032,0.033,450,0.037,35.6,131.5,1.5,11.9,4,96.4,87,73.2,57.3,72,35.7,95.1,14349,6
Maharashtra,64218,4.47,6.18,0.98,2.72,8.78,307713,11.24,365,16,929,894,82.9,89.8,75.5,14.3,24,87,1.8,18,28,16.5,6.2,0.014,0.106,1239.3,0.019,55.8,116.3,1.4,1.9,3.3,99.8,86.4,96.7,75.8,68.9,53.1,83.4,50632,16.5
Assam,23448,4.59,6.06,4.63,3.34,7.81,78438,3.12,398,17.1,958,962,73.2,78.8,67.3,11.5,54,328,2.4,30,75,22.8,7.8,0.037,0.04,240.3,0.00001,34.4,126.3,4.7,11.7,3.6,113.4,,93.1,76.5,44.1,64.9,69.9,27671,35.3
West Bengal,33889,5.36,6.72,3.26,4.38,8.3,88752,9.13,1028,13.8,950,956,77.1,82.7,71.2,11.5,31,117,1.7,22,37,16,6.4,0.03,0.051,593.9,0.045,41.7,135.3,3.2,6.6,5.9,104,92.1,99.6,73,48.8,58.9,92.2,16805,18.9
Delhi,118960,7.38,9.33,2.22,1.76,10.3,1486,1.68,11297,21.2,866,866,86.3,91,80.9,10.1,24,,1.8,18,28,17.2,4.1,0.054,,1613.3,0.805,226.9,226.9,37,,,110.7,92.3,122.9,93.3,77.7,89.5,95,17981,12.1
Kerala,56115,7.72,8.24,0.7,18.41,5.46,38852,3.34,860,4.9,1084,964,93.9,96,92,4,12,66,1.8,7,13,14.7,6.9,0.037,0.112,630.1,0.083,64.3,189.7,6.7,0.1,1.2,95.4,85.8,98.3,82.3,74.2,95.2,33.5,17922,46.1
J & K,29754,3.19,4.49,1.2,4.81,7.55,222236,1.25,56,23.6,889,862,68.7,78.3,58,20.3,37,,1.9,32,43,17.5,5.3,0.006,0.0003,1043.4,0.001,42.6,130.7,3.5,11.3,4.4,84.9,69,72.4,55.3,70,51.2,76.8,22538,10.1
Gujarat,61220,6.57,7.96,0.45,7.12,12.7,196244,6.04,308,19.3,919,890,79.3,87.2,70.7,16.5,36,122,2.3,30,48,20.8,6.5,0.021,0.094,1796.3,0.0004,57.4,137.6,5,3,29.3,101.1,82.9,90.9,68.4,57.9,57.4,90.3,14653,7.5
Nagaland,48111,3.82,6.46,4.4,8.5,7.13,16579,0.2,119,-0.6,931,943,80.1,83.3,76.7,6.6,18,,,,,15.4,3.1,0.03,0.06,268.5,0.001,42.7,153,17.8,6,3,118.8,99.4,102.7,74.3,34.9,76.5,53.8,13044,78.7
Punjab,47834,3.26,4.63,0.81,2.73,7.95,50362,2.77,551,13.9,895,846,76.7,81.5,71.3,10.1,26,155,1.7,24,34,15.7,6.7,0.031,0.029,1761.1,0.044,72,154.3,2.2,1.8,,105.6,85.7,95.3,70.1,65.2,79.3,97.6,1772,3.5
Tripura,42315,7.45,8.7,3.6,2.75,12.76,10486,0.37,350,14.8,960,957,87.8,92.2,83.2,9,26,,,,,13.7,4.7,0.038,0.066,296.1,0.014,42.7,153,12.8,6.2,4.7,113.3,,114,,79.2,86,67.5,7866,75
Jharkhand,27010,6.91,7.43,12.53,3.56,11.53,79716,3.3,414,22.4,949,948,67.6,78.5,56.2,22.2,37,219,2.8,29,50,24.6,6.8,0.027,0.024,846.8,0.003,29.4,151,2.5,12.6,6.4,110.2,96.5,95.3,79.8,54,22,60.1,23473,29.5
Uttarakhand,54462,3.53,5.61,3.89,5.23,6.3,53483,1.01,189,18.8,963,890,79.6,88.3,70.7,17.6,32,292,,,,18.2,6.1,0.038,0.071,1297.3,0.006,35.6,131.5,3.2,4.9,2.1,100.6,83.5,86.5,63.4,80.7,65.8,92.2,24508,45.8
Karnataka,42976,3.58,5.47,-2.93,0.39,10.5,191791,6.11,319,15.6,963,948,75.6,82.9,68.1,14.7,31,144,1.9,24,37,18.3,7,0.023,0.108,1129.1,0.011,46.2,167.2,1.6,2,36.4,101,92.3,91.8,82.9,61.1,51.2,87.5,36132,18.8
Himachal,51730,5.14,6.14,6.56,3.45,7.35,55673,0.69,123,12.9,972,909,83.8,90.8,76.6,14.2,35,,1.7,28,43,16,6.7,0.027,0.029,1379.8,0.029,77.1,325.9,1.3,0.7,0.9,100.5,83.7,101.8,78.4,89.1,69.1,93.7,14683,26.4
Haryana,64136,3.92,5.55,3.15,4.42,8.25,44212,2.54,573,19.9,879,834,76.6,85.4,66.8,18.6,41,146,2.3,28,48,21.3,6.3,0.037,0.057,1722.3,0.119,59.8,121.4,2.8,,,98.4,77.7,94.2,68.6,68.1,68.6,93.8,1586,3.6
Mizoram,39347,3.76,7.23,-1.05,2.11,11.09,21081,0.11,52,23.5,976,970,91.6,93.7,89.4,4.3,35,,,,,16.1,4.3,0.049,0.033,469.4,0.0001,42.7,153,3.1,7,9,126,,118.7,83.9,54.9,91.9,60.4,19054,90.4
